,0
0,<(N/A) N/A - Altitude: 0 - Ground Speed: 4 - Heading: 349>
1,<(N/A) N/A - Altitude: 0 - Ground Speed: 0 - Heading: 344>
2,<(N/A) N/A - Altitude: 0 - Ground Speed: 0 - Heading: 271>
3,<(N/A) N/A - Altitude: 0 - Ground Speed: 44 - Heading: 180>
4,<(N/A) N/A - Altitude: 0 - Ground Speed: 0 - Heading: 310>
5,<(N/A) N/A - Altitude: 0 - Ground Speed: 0 - Heading: 271>
6,<(GRND) N/A - Altitude: 0 - Ground Speed: 514 - Heading: 120>
7,<(GLID) WINDRAD - Altitude: 2135 - Ground Speed: 1 - Heading: 271>
8,<(N/A) N/A - Altitude: 1610 - Ground Speed: 1 - Heading: 90>
9,<(GLID) STM32 - Altitude: 2240 - Ground Speed: 1 - Heading: 56>
10,<(GLID) WINDRAD - Altitude: 1791 - Ground Speed: 1 - Heading: 271>
11,<(GRND) N/A - Altitude: 0 - Ground Speed: 0 - Heading: 180>
12,<(N/A) N/A - Altitude: 0 - Ground Speed: 434 - Heading: 320>
13,<(GLID) WINDRAD - Altitude: 2109 - Ground Speed: 1 - Heading: 205>
14,<(GLID) WINDRAD - Altitude: 1535 - Ground Speed: 1 - Heading: 271>
15,<(GLID) WINDRAD - Altitude: 1624 - Ground Speed: 1 - Heading: 213>
16,<(GLID) WINDRAD - Altitude: 2116 - Ground Speed: 1 - Heading: 89>
17,<(N/A) N/A - Altitude: 0 - Ground Speed: 0 - Heading: 270>
18,<(GLID) ZENAIR - Altitude: 45 - Ground Speed: 0 - Heading: 0>
19,<(MD11) N598FE - Altitude: 0 - Ground Speed: 0 - Heading: 255>
20,<(GLID) CC-TR21 - Altitude: 2224 - Ground Speed: 1 - Heading: 235>
21,<(B77L) N896FD - Altitude: 0 - Ground Speed: 0 - Heading: 255>
22,<(B789) N29977 - Altitude: 0 - Ground Speed: 17 - Heading: 241>
23,<(B738) N8524Z - Altitude: 32000 - Ground Speed: 402 - Heading: 321>
24,<(GLID) WINDRAD - Altitude: 1318 - Ground Speed: 1 - Heading: 271>
25,<(A359) 9V-SJB - Altitude: 4450 - Ground Speed: 222 - Heading: 276>
26,<(B763) N132FE - Altitude: 22550 - Ground Speed: 457 - Heading: 119>
27,<(A359) 9V-SGA - Altitude: 41000 - Ground Speed: 475 - Heading: 135>
28,<(B77W) A6-EPZ - Altitude: 36000 - Ground Speed: 406 - Heading: 243>
29,<(B77W) A6-EPW - Altitude: 9575 - Ground Speed: 295 - Heading: 109>
30,<(B77W) A7-BAF - Altitude: 0 - Ground Speed: 120 - Heading: 338>
31,<(B789) VH-ZNA - Altitude: 39975 - Ground Speed: 466 - Heading: 242>
32,<(A359) 9V-SMZ - Altitude: 43000 - Ground Speed: 504 - Heading: 252>
33,<(A35K) A7-ANP - Altitude: 41000 - Ground Speed: 512 - Heading: 178>
34,<(A388) A6-EUE - Altitude: 0 - Ground Speed: 8 - Heading: 81>
